#
# Measurements of the current planar-Boruvka algo.
# Performed by Linas 12 August 2017
# Used these settings:
#     (define nvocab 5000)
#     (define npairs 101000)
# This is fairly sparse I think.
#
# columns: sent-length millisecs-per-parse rate
2  0.011848  84403.58
3  0.036195  27628.31
4  0.107975  9261.425
5  0.191020  5235.062
6  0.345188  2896.969
7  0.452739  2208.776
8  0.701349  1425.824
9  1.000891  999.1097
10  1.279723  781.4191
11  1.648775  606.5108
12  2.195890  455.3962
13  2.713962  368.4650
14  3.332298  300.0932
15  4.042115  247.3952
16  4.906136  203.8264
17  5.870538  170.3422
18  6.716226  148.8931
19  8.340688  119.8942
20  9.637084  103.7658
21  10.87669  91.93971
22  13.19758  75.77148
23  15.10867  66.18717
24  17.56092  56.94463
25  19.93886  50.15332
